unitid,opeid,fips,sector,control,c21basic,instnm,cipcode,awlevel,ctotalt
132693,00147000,12,1,1,23,Eastern Florida State College,513901,2,37
132693,00147000,12,1,1,23,Eastern Florida State College,150801,2,26
132693,00147000,12,1,1,23,Eastern Florida State College,510801,2,23
132693,00147000,12,1,1,23,Eastern Florida State College,470607,2,20
132693,00147000,12,1,1,23,Eastern Florida State College,510904,2,19
132693,00147000,12,1,1,23,Eastern Florida State College,240101,3,1647
132693,00147000,12,1,1,23,Eastern Florida State College,513801,3,159
132693,00147000,12,1,1,23,Eastern Florida State College,520201,3,45
132693,00147000,12,1,1,23,Eastern Florida State College,150801,3,25
132693,00147000,12,1,1,23,Eastern Florida State College,511004,3,22
132851,00147100,12,1,1,23,College of Central Florida,510904,2,51
132851,00147100,12,1,1,23,College of Central Florida,190709,2,14
132851,00147100,12,1,1,23,College of Central Florida,480508,2,11
132851,00147100,12,1,1,23,College of Central Florida,510601,2,11
132851,00147100,12,1,1,23,College of Central Florida,240101,3,609
132851,00147100,12,1,1,23,College of Central Florida,513801,3,110
132851,00147100,12,1,1,23,College of Central Florida,010507,3,24
132851,00147100,12,1,1,23,College of Central Florida,520201,3,22
132851,00147100,12,1,1,23,College of Central Florida,131210,3,14
132851,00147100,12,1,1,23,College of Central Florida,510806,3,14
133021,00147200,12,1,1,23,Chipola College,120401,2,14
133021,00147200,12,1,1,23,Chipola College,480508,2,12
133021,00147200,12,1,1,23,Chipola College,510904,2,10
133021,00147200,12,1,1,23,Chipola College,240101,3,208
133021,00147200,12,1,1,23,Chipola College,513801,3,39
133386,00147500,12,1,1,23,Daytona State College,120401,2,86
133386,00147500,12,1,1,23,Daytona State College,510904,2,49
133386,00147500,12,1,1,23,Daytona State College,480508,2,40
133386,00147500,12,1,1,23,Daytona State College,120402,2,35
133386,00147500,12,1,1,23,Daytona State College,510714,2,17
133386,00147500,12,1,1,23,Daytona State College,240101,3,1376
133386,00147500,12,1,1,23,Daytona State College,513801,3,202
133386,00147500,12,1,1,23,Daytona State College,520201,3,24
133386,00147500,12,1,1,23,Daytona State College,510904,3,23
133386,00147500,12,1,1,23,Daytona State College,110201,3,22
133508,00147700,12,1,1,23,Florida SouthWestern State College,510904,2,19
133508,00147700,12,1,1,23,Florida SouthWestern State College,240101,3,1510
133508,00147700,12,1,1,23,Florida SouthWestern State College,513801,3,248
133508,00147700,12,1,1,23,Florida SouthWestern State College,430103,3,34
133508,00147700,12,1,1,23,Florida SouthWestern State College,520201,3,26
133508,00147700,12,1,1,23,Florida SouthWestern State College,430406,3,20
133508,00147700,12,1,1,23,Florida SouthWestern State College,510908,3,20
133702,00148400,12,1,1,23,Florida State College at Jacksonville,120401,2,59
133702,00148400,12,1,1,23,Florida State College at Jacksonville,513901,2,40
133702,00148400,12,1,1,23,Florida State College at Jacksonville,410301,2,38
133702,00148400,12,1,1,23,Florida State College at Jacksonville,150000,2,32
133702,00148400,12,1,1,23,Florida State College at Jacksonville,111001,2,20
133702,00148400,12,1,1,23,Florida State College at Jacksonville,240101,3,1705
133702,00148400,12,1,1,23,Florida State College at Jacksonville,513801,3,284
133702,00148400,12,1,1,23,Florida State College at Jacksonville,520201,3,46
133702,00148400,12,1,1,23,Florida State College at Jacksonville,111003,3,41
133702,00148400,12,1,1,23,Florida State College at Jacksonville,190708,3,41
133960,00148500,12,1,1,14,The College of the Florida Keys,513801,3,27
133960,00148500,12,1,1,14,The College of the Florida Keys,240101,3,26
134343,00149000,12,1,1,14,Gulf Coast State College,513901,2,29
134343,00149000,12,1,1,14,Gulf Coast State College,510909,2,20
134343,00149000,12,1,1,14,Gulf Coast State College,510601,2,11
134343,00149000,12,1,1,14,Gulf Coast State College,240101,3,381
134343,00149000,12,1,1,14,Gulf Coast State College,513801,3,105
134343,00149000,12,1,1,14,Gulf Coast State College,510909,3,23
134343,00149000,12,1,1,14,Gulf Coast State College,510911,3,16
134343,00149000,12,1,1,14,Gulf Coast State College,510602,3,15
134608,00149300,12,1,1,23,Indian River State College,120401,2,57
134608,00149300,12,1,1,23,Indian River State College,513901,2,18
134608,00149300,12,1,1,23,Indian River State College,120402,2,17
134608,00149300,12,1,1,23,Indian River State College,510904,2,14
134608,00149300,12,1,1,23,Indian River State College,510909,2,14
134608,00149300,12,1,1,23,Indian River State College,240101,3,1535
134608,00149300,12,1,1,23,Indian River State College,513801,3,140
134608,00149300,12,1,1,23,Indian River State College,110103,3,42
134608,00149300,12,1,1,23,Indian River State College,430103,3,32
134608,00149300,12,1,1,23,Indian River State College,430201,3,30
132709,00150000,12,1,1,14,Broward College,510904,2,102
132709,00150000,12,1,1,14,Broward College,111001,2,33
132709,00150000,12,1,1,14,Broward College,510601,2,30
132709,00150000,12,1,1,14,Broward College,190709,2,25
132709,00150000,12,1,1,14,Broward College,470605,2,22
132709,00150000,12,1,1,14,Broward College,240101,3,3662
132709,00150000,12,1,1,14,Broward College,513801,3,413
132709,00150000,12,1,1,14,Broward College,490104,3,72
132709,00150000,12,1,1,14,Broward College,520201,3,68
132709,00150000,12,1,1,14,Broward College,430103,3,56
135160,00150100,12,1,1,23,Florida Gateway College,120401,2,30
135160,00150100,12,1,1,23,Florida Gateway College,513901,2,19
135160,00150100,12,1,1,23,Florida Gateway College,480508,2,16
135160,00150100,12,1,1,23,Florida Gateway College,510904,2,12
135160,00150100,12,1,1,23,Florida Gateway College,150501,2,11
135160,00150100,12,1,1,23,Florida Gateway College,240101,3,329
135160,00150100,12,1,1,23,Florida Gateway College,513801,3,53
135188,00150200,12,1,1,14,Lake-Sumter State College,410301,2,17
135188,00150200,12,1,1,14,Lake-Sumter State College,240101,3,651
135188,00150200,12,1,1,14,Lake-Sumter State College,513801,3,60
135188,00150200,12,1,1,14,Lake-Sumter State College,150000,3,21
135391,00150400,12,1,1,23,State College of Florida-Manatee-Sarasota,190709,2,55
135391,00150400,12,1,1,23,State College of Florida-Manatee-Sarasota,240101,3,971
135391,00150400,12,1,1,23,State College of Florida-Manatee-Sarasota,513801,3,170
135391,00150400,12,1,1,23,State College of Florida-Manatee-Sarasota,520201,3,26
135391,00150400,12,1,1,23,State College of Florida-Manatee-Sarasota,131210,3,25
135391,00150400,12,1,1,23,State College of Florida-Manatee-Sarasota,510806,3,20
135717,00150600,12,1,1,14,Miami Dade College,111001,2,151
135717,00150600,12,1,1,14,Miami Dade College,510904,2,69
135717,00150600,12,1,1,14,Miami Dade College,510801,2,20
135717,00150600,12,1,1,14,Miami Dade College,510805,2,16
135717,00150600,12,1,1,14,Miami Dade College,510714,2,10
135717,00150600,12,1,1,14,Miami Dade College,240101,3,6858
135717,00150600,12,1,1,14,Miami Dade College,513801,3,664
135717,00150600,12,1,1,14,Miami Dade College,510701,3,55
135717,00150600,12,1,1,14,Miami Dade College,100304,3,49
135717,00150600,12,1,1,14,Miami Dade College,510602,3,48
136145,00150800,12,1,1,14,North Florida College,510714,2,10
136145,00150800,12,1,1,14,North Florida College,240101,3,175
136145,00150800,12,1,1,14,North Florida College,513801,3,40
136233,00151000,12,1,1,23,Northwest Florida State College,480508,2,22
136233,00151000,12,1,1,23,Northwest Florida State College,510904,2,13
136233,00151000,12,1,1,23,Northwest Florida State College,510601,2,11
136233,00151000,12,1,1,23,Northwest Florida State College,240101,3,736
136233,00151000,12,1,1,23,Northwest Florida State College,513801,3,67
136233,00151000,12,1,1,23,Northwest Florida State College,510911,3,16
136233,00151000,12,1,1,23,Northwest Florida State College,310507,3,15
136233,00151000,12,1,1,23,Northwest Florida State College,111003,3,12
136233,00151000,12,1,1,23,Northwest Florida State College,510806,3,12
136358,00151200,12,1,1,14,Palm Beach State College,120401,2,64
136358,00151200,12,1,1,14,Palm Beach State College,510904,2,63
136358,00151200,12,1,1,14,Palm Beach State College,480508,2,19
136358,00151200,12,1,1,14,Palm Beach State College,513901,2,19
136358,00151200,12,1,1,14,Palm Beach State College,150501,2,16
136358,00151200,12,1,1,14,Palm Beach State College,510714,2,16
136358,00151200,12,1,1,14,Palm Beach State College,240101,3,2632
136358,00151200,12,1,1,14,Palm Beach State College,513801,3,228
136358,00151200,12,1,1,14,Palm Beach State College,110201,3,33
136358,00151200,12,1,1,14,Palm Beach State College,131210,3,28
136358,00151200,12,1,1,14,Palm Beach State College,111001,3,26
136358,00151200,12,1,1,14,Palm Beach State College,500408,3,26
136473,00151300,12,1,1,23,Pensacola State College,120401,2,60
136473,00151300,12,1,1,23,Pensacola State College,510904,2,20
136473,00151300,12,1,1,23,Pensacola State College,513901,2,20
136473,00151300,12,1,1,23,Pensacola State College,120503,2,10
136473,00151300,12,1,1,23,Pensacola State College,150501,2,10
136473,00151300,12,1,1,23,Pensacola State College,240101,3,881
136473,00151300,12,1,1,23,Pensacola State College,513801,3,198
136473,00151300,12,1,1,23,Pensacola State College,111003,3,36
136473,00151300,12,1,1,23,Pensacola State College,510602,3,24
136473,00151300,12,1,1,23,Pensacola State College,510910,3,13
136516,00151400,12,1,1,23,Polk State College,190709,2,10
136516,00151400,12,1,1,23,Polk State College,240101,3,984
136516,00151400,12,1,1,23,Polk State College,513801,3,100
136516,00151400,12,1,1,23,Polk State College,520201,3,28
136516,00151400,12,1,1,23,Polk State College,430103,3,27
136516,00151400,12,1,1,23,Polk State College,510911,3,16
137096,00151900,12,1,1,14,Santa Fe College,510909,2,37
137096,00151900,12,1,1,14,Santa Fe College,510601,2,18
