unitid,parent_instnm,locationtype,g_location,address,opeid,fips,sector,control,c21basic,instnm,cipcode,awlevel,ctotalt
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,510904,2,51
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,190709,2,14
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,480508,2,11
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,510601,2,11
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,240101,3,609
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,513801,3,110
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,010507,3,24
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,520201,3,22
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,131210,3,14
132851,College of Central Florida,Additional Location,Branch Campus,"3800 S. Lecanto Hwy., Lecanto, FL 34461",00147100,12,1,1,23,College of Central Florida,510806,3,14
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,510904,2,51
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,190709,2,14
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,480508,2,11
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,510601,2,11
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,240101,3,609
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,513801,3,110
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,010507,3,24
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,520201,3,22
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,131210,3,14
132851,College of Central Florida,Additional Location,Branch Campus,"114 Rodgers Blvd., Chiefland, FL 32626",00147100,12,1,1,23,College of Central Florida,510806,3,14
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,120401,2,86
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,510904,2,49
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,480508,2,40
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,120402,2,35
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,510714,2,17
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,240101,3,1376
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,513801,3,202
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,520201,3,24
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,510904,3,23
133386,Daytona State College,Additional Location,Branch Campus,"1155 County Road 4139, DeLand, FL 32724",00147500,12,1,1,23,Daytona State College,110201,3,22
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,120401,2,86
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,510904,2,49
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,480508,2,40
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,120402,2,35
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,510714,2,17
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,240101,3,1376
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,513801,3,202
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,520201,3,24
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,510904,3,23
133386,Daytona State College,Additional Location,Branch Campus,"1770 Technology Boulevard, Daytona Beach, FL 32117",00147500,12,1,1,23,Daytona State College,110201,3,22
133508,Florida SouthWestern State College,Additional Location,Branch Campus,"26300 Airport Road, Punta Gorda, FL 33950",00147700,12,1,1,23,Florida SouthWestern State College,510904,2,19
133508,Florida SouthWestern State College,Additional Location,Branch Campus,"26300 Airport Road, Punta Gorda, FL 33950",00147700,12,1,1,23,Florida SouthWestern State College,240101,3,1510
133508,Florida SouthWestern State College,Additional Location,Branch Campus,"26300 Airport Road, Punta Gorda, FL 33950",00147700,12,1,1,23,Florida SouthWestern State College,513801,3,248
133508,Florida SouthWestern State College,Additional Location,Branch Campus,"26300 Airport Road, Punta Gorda, FL 33950",00147700,12,1,1,23,Florida SouthWestern State College,430103,3,34
133508,Florida SouthWestern State College,Additional Location,Branch Campus,"26300 Airport Road, Punta Gorda, FL 33950",00147700,12,1,1,23,Florida SouthWestern State College,520201,3,26
133508,Florida SouthWestern State College,Additional Location,Branch Campus,"26300 Airport Road, Punta Gorda, FL 33950",00147700,12,1,1,23,Florida SouthWestern State College,430406,3,20
133508,Florida SouthWestern State College,Additional Location,Branch Campus,"26300 Airport Road, Punta Gorda, FL 33950",00147700,12,1,1,23,Florida SouthWestern State College,510908,3,20
135188,Lake-Sumter State College,Additional Location,Branch Campus,"1405 County Rd 526A, Sumterville, FL 33513",00150200,12,1,1,14,Lake-Sumter State College,410301,2,17
135188,Lake-Sumter State College,Additional Location,Branch Campus,"1405 County Rd 526A, Sumterville, FL 33513",00150200,12,1,1,14,Lake-Sumter State College,240101,3,651
135188,Lake-Sumter State College,Additional Location,Branch Campus,"1405 County Rd 526A, Sumterville, FL 33513",00150200,12,1,1,14,Lake-Sumter State College,513801,3,60
135188,Lake-Sumter State College,Additional Location,Branch Campus,"1405 County Rd 526A, Sumterville, FL 33513",00150200,12,1,1,14,Lake-Sumter State College,150000,3,21
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,120401,2,64
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,510904,2,63
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,480508,2,19
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,513901,2,19
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,150501,2,16
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,510714,2,16
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,240101,3,2632
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,513801,3,228
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,110201,3,33
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,131210,3,28
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,111001,3,26
136358,Palm Beach State College,Additional Location,Branch Campus,"1977 College Dr, Belle Glade, FL 33430-3699",00151200,12,1,1,14,Palm Beach State College,500408,3,26
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,120401,2,60
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,510904,2,20
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,513901,2,20
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,120503,2,10
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,150501,2,10
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,240101,3,881
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,513801,3,198
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,111003,3,36
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,510602,3,24
136473,Pensacola State College,Additional Location,Branch Campus,"5555 W. Highway 98, Pensacola, FL 32507",00151300,12,1,1,23,Pensacola State College,510910,3,13
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,120401,2,60
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,510904,2,20
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,513901,2,20
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,120503,2,10
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,150501,2,10
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,240101,3,881
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,513801,3,198
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,111003,3,36
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,510602,3,24
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,510910,3,13
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,190709,2,10
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,240101,3,984
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,513801,3,100
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,520201,3,28
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,430103,3,27
