"inst_name","cipcode_6digit","total_completers"
"Broward College",99,37048
"Broward College",30104,37048
"Broward College",90499,37048
"Broward College",90902,37048
"Broward College",110103,37048
"Chipola College",99,2028
"Chipola College",110103,2028
"Chipola College",111001,2028
"Chipola College",131210,2028
"Chipola College",150000,2028
"College of Central Florida",99,6952
"College of Central Florida",10101,6952
"College of Central Florida",10507,6952
"College of Central Florida",110103,6952
"College of Central Florida",110801,6952
"Daytona State College",99,12664
"Daytona State College",30104,12664
"Daytona State College",90702,12664
"Daytona State College",100201,12664
"Daytona State College",110103,12664
"Eastern Florida State College",99,15820
"Eastern Florida State College",10605,15820
"Eastern Florida State College",18301,15820
"Eastern Florida State College",90702,15820
"Eastern Florida State College",110103,15820
"Florida Agricultural and Mechanical University",99,9012
"Florida Agricultural and Mechanical University",240101,9012
"Florida Agricultural and Mechanical University",240102,9012
"Florida Atlantic University",99,32828
"Florida Atlantic University",240101,32828
"Florida Gateway College",99,3264
"Florida Gateway College",10101,3264
"Florida Gateway College",30104,3264
"Florida Gateway College",110103,3264
"Florida Gateway College",110201,3264
"Florida Gulf Coast University",99,14372
"Florida Gulf Coast University",240101,14372
"Florida International University",99,67504
"Florida International University",240101,67504
"Florida Polytechnic University",99,1548
"Florida Polytechnic University",110701,1548
"Florida Polytechnic University",140901,1548
"Florida Polytechnic University",141001,1548
"Florida Polytechnic University",141401,1548
"Florida SouthWestern State College",99,11300
"Florida SouthWestern State College",40901,11300
"Florida SouthWestern State College",110201,11300
"Florida SouthWestern State College",110801,11300
"Florida SouthWestern State College",110901,11300
"Florida State College at Jacksonville",99,25688
"Florida State College at Jacksonville",30104,25688
"Florida State College at Jacksonville",40901,25688
"Florida State College at Jacksonville",110101,25688
"Florida State College at Jacksonville",110103,25688
"Florida State University",99,49988
"Florida State University",240101,49988
"Gulf Coast State College",99,3420
"Gulf Coast State College",40901,3420
"Gulf Coast State College",110201,3420
"Gulf Coast State College",110801,3420
"Gulf Coast State College",111001,3420
"Hillsborough Community College",99,25444
"Hillsborough Community College",10303,25444
"Hillsborough Community College",18301,25444
"Hillsborough Community College",30104,25444
"Hillsborough Community College",40901,25444
"Indian River State College",99,15576
"Indian River State College",10000,15576
"Indian River State College",10303,15576
"Indian River State College",10605,15576
"Indian River State College",10607,15576
"Lake-Sumter State College",99,3136
"Lake-Sumter State College",110103,3136
"Lake-Sumter State College",150000,3136
"Lake-Sumter State College",240101,3136
"Lake-Sumter State College",430103,3136
"Miami Dade College",99,60192
"Miami Dade College",10605,60192
"Miami Dade College",18301,60192
"Miami Dade College",30104,60192
"Miami Dade College",40901,60192
"North Florida College",99,1592
"North Florida College",110801,1592
"North Florida College",131210,1592
"North Florida College",150000,1592
"North Florida College",240101,1592
"Northwest Florida State College",99,4592
"Northwest Florida State College",40901,4592
"Northwest Florida State College",110103,4592
"Northwest Florida State College",110201,4592
"Northwest Florida State College",110801,4592
"Palm Beach State College",99,22488
"Palm Beach State College",10605,22488
"Palm Beach State College",30104,22488
"Palm Beach State College",110103,22488
"Palm Beach State College",110201,22488
"Pasco-Hernando State College",99,7804
"Pasco-Hernando State College",110201,7804
"Pasco-Hernando State College",110801,7804
"Pasco-Hernando State College",110901,7804
"Pasco-Hernando State College",111001,7804
"Pensacola State College",99,8448
"Pensacola State College",18301,8448
"Pensacola State College",40901,8448
"Pensacola State College",110103,8448
"Pensacola State College",110201,8448
"Polk State College",99,9404
"Polk State College",110201,9404
"Polk State College",110801,9404
"Polk State College",111001,9404
"Polk State College",150000,9404
"Saint Johns River State College",99,5104
"Saint Johns River State College",110101,5104
"Saint Johns River State College",110103,5104
"Saint Johns River State College",110201,5104
"Saint Johns River State College",110801,5104
"Santa Fe College",99,12020
"Santa Fe College",10999,12020
"Santa Fe College",110103,12020
"Santa Fe College",110201,12020
"Santa Fe College",110801,12020
"Seminole State College of Florida",99,19012
"Seminole State College of Florida",90702,19012
"Seminole State College of Florida",110103,19012
"Seminole State College of Florida",110201,19012
"Seminole State College of Florida",110801,19012
"South Florida State College",99,2264
"South Florida State College",10605,2264
"South Florida State College",11103,2264
"South Florida State College",110201,2264
"South Florida State College",110901,2264
"St Petersburg College",99,23300
"St Petersburg College",18301,23300
"St Petersburg College",30104,23300
"St Petersburg College",40901,23300
"St Petersburg College",110101,23300
"State College of Florida-Manatee-Sarasota",99,8076
"State College of Florida-Manatee-Sarasota",110103,8076
"State College of Florida-Manatee-Sarasota",110201,8076
"State College of Florida-Manatee-Sarasota",110803,8076
"State College of Florida-Manatee-Sarasota",111001,8076
"Tallahassee Community College",99,11796
"Tallahassee Community College",30104,11796
"Tallahassee Community College",110103,11796
"Tallahassee Community College",110201,11796
"Tallahassee Community College",110801,11796
"The College of the Florida Keys",99,1180
"The College of the Florida Keys",30601,1180
"The College of the Florida Keys",120504,1180
"The College of the Florida Keys",150000,1180
"The College of the Florida Keys",240101,1180
"The University of West Florida",99,17996
"The University of West Florida",240101,17996
"University of Central Florida",99,77680
"University of Central Florida",240101,77680
"University of Florida",99,64440
"University of Florida",240101,64440
"University of Florida-Online",99,3296
"University of Florida-Online",240101,3296
"University of North Florida",99,18532
"University of North Florida",240101,18532
"University of South Florida",99,55700
"University of South Florida",240101,55700
"Valencia College",99,52912
"Valencia College",10605,52912
"Valencia College",90499,52912
"Valencia College",90902,52912
"Valencia College",110103,52912
